SKU,ListID,MPN,SalesPrice,QuantityOnHand
ASP-17002A,80000DC5-1500054497,17002A,14,0
ASP-17003AR,80000DC4-1500052898,17003AR,14,9
ECLDL-6R18WS60K,80000B54-1460565458,AOE-CL-130-18W,34.99,52
ECLDL-6R18WW60K,80000BA9-1466790531,AOE-CL-130-18W-WHITE,35.5,29
ECLCPE-A6R12W5CT,80001713-1633730130, DL-6-12RN,25.5,0
ECLCPE-6S12W3CT,80001103-1537303792,LP6SQ12W3CCT-WH,25.5,-2
ECLCPE-A6S12W5CT,80001714-1633730154,DL-6-12ERN,25.5,2
LUX-LR23847,800017BA-1651512114,LR23847,15,6
WE-RDPS6-MCT5,800016A3-1623685868,RDPS6-MCT5,12.99,-3
OC-PL-TS-HPL-6,80001461-1575931371,TS-HPL-6,80,0
WE-RSL6-RI,80000EDF-1510262678,RSL6-RI,9.99,2
WE-RDPF6-MCT5,800016A1-1623685101,RDPF6-MCT5,12.99,0
WE-SDL6-BF-MCT5,8000172F-1634848077,SDL6-BF-MCT5,19.99,13
ECLCG-7R18W3CT,800016CB-1627054598,AOE-T0021-18W-CCT-R,35.25,2
ECLCG-7S18W3CT,800016CC-1627054626,AOE-T0021-18W-CCT-S,35.25,3
ECLCP-8S18W60K,800013A9-1566502063,AOE-DL373-18W,37.99,41
EAP-AS1-8B,80001AC1-1727203487,QSG-Q-01-Black,30.99,54
EAP-AS1-8S,800019EA-1715274093,QSG-Q-01-Silver,30.99,253
EAP-AS1-8W,80001AC0-1727203462,QSG-Q-01-White,30.99,5
EAP-SM2-8S,800010BB-1532037775,QSG-1715B-Silver,35.99,0
EAP-RM2-8S,800010BD-1532037871,QSG-2515B-Silver,34.75,0
EAP-RT1-8S,8000142A-1570642192,QSG-7016,80.99,0
EAP-BBT1-8S,800018DB-1684793085,QSG-7214,89.99,29
EAP-AR1-8S,800019EE-1715274216,QSG-Q-02-Silver,32.99,112
EAP-AR1-8W,80001AC2-1727203511,QSG-Q-02-W,32.99,0
